,loss,accuracy,precision,recall,tp,tn,fp,fn,val_loss,val_accuracy,val_precision,val_recall,val_tp,val_tn,val_fp,val_fn
0,0.7120367288589478,0.5549065470695496,0.24866309762001038,0.4818652868270874,93.0,382.0,281.0,100.0,0.71630859375,0.6465116143226624,0.24590164422988892,0.3333333432674408,15.0,124.0,46.0,30.0
1,0.6558923721313477,0.6378504633903503,0.3503836393356323,0.7098445892333984,137.0,409.0,254.0,56.0,0.6561170220375061,0.5674418807029724,0.30327868461608887,0.8222222328186035,37.0,85.0,85.0,8.0
2,0.602437436580658,0.7044392228126526,0.41428571939468384,0.7512953281402588,145.0,458.0,205.0,48.0,0.6327083110809326,0.7302325367927551,0.4301075339317322,0.8888888955116272,40.0,117.0,53.0,5.0
3,0.5704247951507568,0.7254672646522522,0.4406779706478119,0.8082901835441589,156.0,465.0,198.0,37.0,0.5659307241439819,0.734883725643158,0.42500001192092896,0.7555555701255798,34.0,124.0,46.0,11.0
4,0.5097758769989014,0.8037382960319519,0.5407165884971619,0.8601036071777344,166.0,522.0,141.0,27.0,0.5955158472061157,0.7581395506858826,0.45783132314682007,0.8444444537162781,38.0,125.0,45.0,7.0
5,0.5073217749595642,0.8002336621284485,0.5350318551063538,0.8704662919044495,168.0,517.0,146.0,25.0,0.5337395071983337,0.7953488230705261,0.5072463750839233,0.7777777910232544,35.0,136.0,34.0,10.0
6,0.46880510449409485,0.8352803587913513,0.5884353518486023,0.8963730335235596,173.0,542.0,121.0,20.0,0.5765596032142639,0.7488372325897217,0.4383561611175537,0.7111111283302307,32.0,129.0,41.0,13.0
7,0.44903069734573364,0.8352803587913513,0.587837815284729,0.9015544056892395,174.0,541.0,122.0,19.0,0.5303137302398682,0.8279069662094116,0.5571428537368774,0.8666666746139526,39.0,139.0,31.0,6.0
8,0.3988904058933258,0.9112149477005005,0.7349397540092468,0.9481865167617798,183.0,597.0,66.0,10.0,0.5396425724029541,0.8093023300170898,0.5322580933570862,0.7333333492279053,33.0,141.0,29.0,12.0
9,0.39749130606651306,0.9065420627593994,0.7250996232032776,0.9430052042007446,182.0,594.0,69.0,11.0,0.5344289541244507,0.7906976938247681,0.5,0.6888889074325562,31.0,139.0,31.0,14.0
10,0.3861677944660187,0.913551390171051,0.7553648352622986,0.9119170904159546,176.0,606.0,57.0,17.0,0.5348086953163147,0.804651141166687,0.5230769515037537,0.7555555701255798,34.0,139.0,31.0,11.0
11,0.379455029964447,0.9287382960319519,0.7773109078407288,0.9585492014884949,185.0,610.0,53.0,8.0,0.5473979711532593,0.7906976938247681,0.5,0.6222222447395325,28.0,142.0,28.0,17.0
12,0.3878631591796875,0.9252336621284485,0.7816593647003174,0.9274611473083496,179.0,613.0,50.0,14.0,0.4982908070087433,0.8418604731559753,0.5932203531265259,0.7777777910232544,35.0,146.0,24.0,10.0
13,0.3765880763530731,0.9322429895401001,0.800000011920929,0.9326424598693848,180.0,618.0,45.0,13.0,0.5435665249824524,0.7767441868782043,0.4754098355770111,0.644444465637207,29.0,138.0,32.0,16.0
14,0.3643415868282318,0.9357476830482483,0.8108108043670654,0.9326424598693848,180.0,621.0,42.0,13.0,0.5442138314247131,0.7813953757286072,0.4838709533214569,0.6666666865348816,30.0,138.0,32.0,15.0
15,0.36214032769203186,0.9345794320106506,0.7991266250610352,0.9481865167617798,183.0,617.0,46.0,10.0,0.4947271943092346,0.8325581550598145,0.581818163394928,0.7111111283302307,32.0,147.0,23.0,13.0
16,0.345910906791687,0.952102780342102,0.8392857313156128,0.9740932583808899,188.0,627.0,36.0,5.0,0.5375347137451172,0.804651141166687,0.5272727012634277,0.644444465637207,29.0,144.0,26.0,16.0
17,0.3374292254447937,0.961448609828949,0.8809523582458496,0.9585492014884949,185.0,638.0,25.0,8.0,0.5428395867347717,0.8279069662094116,0.5645161271095276,0.7777777910232544,35.0,143.0,27.0,10.0
18,0.35384079813957214,0.9532710313796997,0.8591549396514893,0.9481865167617798,183.0,633.0,30.0,10.0,0.538245677947998,0.8093023300170898,0.5270270109176636,0.8666666746139526,39.0,135.0,35.0,6.0
19,0.34665966033935547,0.9334112405776978,0.7857142686843872,0.9689119458198547,187.0,612.0,51.0,6.0,0.525688111782074,0.8139534592628479,0.5471698045730591,0.644444465637207,29.0,146.0,24.0,16.0
20,0.3228362500667572,0.9707943797111511,0.9117646813392639,0.9637305736541748,186.0,645.0,18.0,7.0,0.5225890874862671,0.8232558369636536,0.5636363625526428,0.6888889074325562,31.0,146.0,24.0,14.0
21,0.32039931416511536,0.9649532437324524,0.8721461296081543,0.9896373152732849,191.0,635.0,28.0,2.0,0.5292528867721558,0.7906976938247681,0.5,0.6666666865348816,30.0,140.0,30.0,15.0
22,0.3354324996471405,0.9556074738502502,0.8604651093482971,0.9585492014884949,185.0,633.0,30.0,8.0,0.5280545353889465,0.8139534592628479,0.5423728823661804,0.7111111283302307,32.0,143.0,27.0,13.0
23,0.3433433473110199,0.9450934529304504,0.8288288116455078,0.9533678889274597,184.0,625.0,38.0,9.0,0.544815182685852,0.7906976938247681,0.5,0.6222222447395325,28.0,142.0,28.0,17.0
24,0.340759813785553,0.952102780342102,0.8486238718032837,0.9585492014884949,185.0,630.0,33.0,8.0,0.48750197887420654,0.8418604731559753,0.6000000238418579,0.7333333492279053,33.0,148.0,22.0,12.0
25,0.31840208172798157,0.9707943797111511,0.8962264060974121,0.984455943107605,190.0,641.0,22.0,3.0,0.5503124594688416,0.7860465049743652,0.49152541160583496,0.644444465637207,29.0,140.0,30.0,16.0
26,0.3317893147468567,0.961448609828949,0.8738317489624023,0.9689119458198547,187.0,636.0,27.0,6.0,0.4697527289390564,0.8325581550598145,0.5882353186607361,0.6666666865348816,30.0,149.0,21.0,15.0
27,0.34859609603881836,0.9567757248878479,0.8823529481887817,0.9326424598693848,180.0,639.0,24.0,13.0,0.566405177116394,0.7720929980278015,0.46666666865348816,0.6222222447395325,28.0,138.0,32.0,17.0
28,0.3163270950317383,0.9766355156898499,0.9138755798339844,0.9896373152732849,191.0,645.0,18.0,2.0,0.4630085825920105,0.8558139801025391,0.6458333134651184,0.6888889074325562,31.0,153.0,17.0,14.0
29,0.3029835820198059,0.9848130941390991,0.949999988079071,0.984455943107605,190.0,653.0,10.0,3.0,0.525372326374054,0.8093023300170898,0.5370370149612427,0.644444465637207,29.0,145.0,25.0,16.0
30,0.31600022315979004,0.9778037667274475,0.9264705777168274,0.9792746305465698,189.0,648.0,15.0,4.0,0.5364074110984802,0.8093023300170898,0.5344827771186829,0.6888889074325562,31.0,143.0,27.0,14.0
31,0.32394325733184814,0.96612149477005,0.8904761672019958,0.9689119458198547,187.0,640.0,23.0,6.0,0.524338960647583,0.8279069662094116,0.5666666626930237,0.7555555701255798,34.0,144.0,26.0,11.0
32,0.3156309723854065,0.9754672646522522,0.9134615659713745,0.984455943107605,190.0,645.0,18.0,3.0,0.5217289328575134,0.8232558369636536,0.5573770403862,0.7555555701255798,34.0,143.0,27.0,11.0
33,0.3148520290851593,0.9754672646522522,0.9134615659713745,0.984455943107605,190.0,645.0,18.0,3.0,0.5295643210411072,0.804651141166687,0.5272727012634277,0.644444465637207,29.0,144.0,26.0,16.0
34,0.31708186864852905,0.9719626307487488,0.9121951460838318,0.9689119458198547,187.0,645.0,18.0,6.0,0.4925720691680908,0.8232558369636536,0.5636363625526428,0.6888889074325562,31.0,146.0,24.0,14.0
35,0.32495614886283875,0.96612149477005,0.8867924809455872,0.9740932583808899,188.0,639.0,24.0,5.0,0.4996638596057892,0.8465116024017334,0.6153846383094788,0.7111111283302307,32.0,150.0,20.0,13.0
36,0.30349284410476685,0.9789719581604004,0.9227052927017212,0.9896373152732849,191.0,647.0,16.0,2.0,0.5178298354148865,0.7953488230705261,0.5098039507865906,0.5777778029441833,26.0,145.0,25.0,19.0
37,0.3066398501396179,0.9754672646522522,0.9134615659713745,0.984455943107605,190.0,645.0,18.0,3.0,0.5077059268951416,0.8232558369636536,0.5853658318519592,0.5333333611488342,24.0,153.0,17.0,21.0
38,0.31306329369544983,0.9754672646522522,0.9215686321258545,0.9740932583808899,188.0,647.0,16.0,5.0,0.4893164336681366,0.8558139801025391,0.6296296119689941,0.7555555701255798,34.0,150.0,20.0,11.0
39,0.3158661425113678,0.9696261882781982,0.8957346081733704,0.9792746305465698,189.0,641.0,22.0,4.0,0.521835207939148,0.804651141166687,0.5230769515037537,0.7555555701255798,34.0,139.0,31.0,11.0
40,0.3056891858577728,0.9789719581604004,0.9353233575820923,0.9740932583808899,188.0,650.0,13.0,5.0,0.4993598461151123,0.8465116024017334,0.6578947305679321,0.5555555820465088,25.0,157.0,13.0,20.0
41,0.3023933470249176,0.9766355156898499,0.9261083602905273,0.9740932583808899,188.0,648.0,15.0,5.0,0.5012785196304321,0.8232558369636536,0.5593220591545105,0.7333333492279053,33.0,144.0,26.0,12.0
42,0.3073846101760864,0.9742990732192993,0.9130434989929199,0.9792746305465698,189.0,645.0,18.0,4.0,0.5783564448356628,0.7953488230705261,0.5102040767669678,0.5555555820465088,25.0,146.0,24.0,20.0
43,0.30008405447006226,0.9824766516685486,0.936274528503418,0.9896373152732849,191.0,650.0,13.0,2.0,0.5580866932868958,0.8093023300170898,0.5344827771186829,0.6888889074325562,31.0,143.0,27.0,14.0
44,0.3267466425895691,0.9591121673583984,0.8623853325843811,0.9740932583808899,188.0,633.0,30.0,5.0,0.5681804418563843,0.7906976938247681,0.5,0.6888889074325562,31.0,139.0,31.0,14.0
45,0.2944588363170624,0.985981285572052,0.9414634108543396,1.0,193.0,651.0,12.0,0.0,0.526103138923645,0.8372092843055725,0.6041666865348816,0.644444465637207,29.0,151.0,19.0,16.0
