data,step,filter1,filter2,accuracy,val_accuracy,precision,val_precision
normal,50,48,128,0.6904205679893494,0.669767439365387,0.41387560963630676,0.37735849618911743
normal,100,48,128,0.7990654110908508,0.800000011920929,0.5339806079864502,0.5135135054588318
normal,150,48,128,0.8528037667274475,0.8511627912521362,0.622710645198822,0.6000000238418579
normal,200,48,128,0.8469626307487488,0.8465116024017334,0.6156716346740723,0.5909090638160706
normal,250,48,128,0.860981285572052,0.8744186162948608,0.642307698726654,0.6607142686843872
normal,300,48,128,0.8726635575294495,0.8511627912521362,0.665354311466217,0.5970149040222168
normal,50,48,192,0.8376168012619019,0.8511627912521362,0.5978260636329651,0.60317462682724
normal,100,48,192,0.8703271150588989,0.8604651093482971,0.6564885377883911,0.6229507923126221
normal,150,48,192,0.8726635575294495,0.8558139801025391,0.665354311466217,0.6206896305084229
normal,200,48,192,0.8913551568984985,0.8744186162948608,0.7083333134651184,0.6607142686843872
normal,250,48,192,0.9030373692512512,0.8790697455406189,0.7272727489471436,0.6792452931404114
normal,300,48,192,0.9042056202888489,0.8744186162948608,0.7381974458694458,0.6666666865348816
normal,50,48,256,0.8434579372406006,0.8372092843055725,0.6088560819625854,0.5735294222831726
normal,100,48,256,0.8668224215507507,0.8604651093482971,0.6513410210609436,0.6190476417541504
normal,150,48,256,0.8925233483314514,0.869767427444458,0.7078189253807068,0.6545454263687134
normal,200,48,256,0.8925233483314514,0.8790697455406189,0.7078189253807068,0.6610169410705566
normal,250,48,256,0.9217289686203003,0.8883720636367798,0.7715517282485962,0.7234042286872864
normal,300,48,256,0.9158878326416016,0.8744186162948608,0.757446825504303,0.6666666865348816
normal,50,64,128,0.8387850522994995,0.800000011920929,0.5978647470474243,0.5142857432365417
normal,100,64,128,0.8457943797111511,0.7534883618354797,0.6117216348648071,0.4545454680919647
normal,150,64,128,0.8539719581604004,0.8186046481132507,0.6307692527770996,0.546875
normal,200,64,128,0.8796728849411011,0.8604651093482971,0.6730769276618958,0.6415094137191772
normal,250,64,128,0.8983644843101501,0.8744186162948608,0.7190082669258118,0.6800000071525574
normal,300,64,128,0.9053738117218018,0.8651162981987,0.7393162250518799,0.6538461446762085
normal,50,64,192,0.8528037667274475,0.869767427444458,0.6273764371871948,0.6808510422706604
normal,100,64,192,0.8703271150588989,0.8418604731559753,0.66015625,0.5964912176132202
normal,150,64,192,0.889018714427948,0.8604651093482971,0.6975806355476379,0.6415094137191772
normal,200,64,192,0.9018691778182983,0.8604651093482971,0.722449004650116,0.6363636255264282
normal,250,64,192,0.8995327353477478,0.8651162981987,0.7219917178153992,0.6481481194496155
normal,300,64,192,0.927570104598999,0.869767427444458,0.7860261797904968,0.6603773832321167
normal,50,64,256,0.855140209197998,0.8837209343910217,0.6363636255264282,0.6785714030265808
normal,100,64,256,0.8925233483314514,0.9023255705833435,0.7044534683227539,0.7727272510528564
normal,150,64,256,0.9100467562675476,0.8976744413375854,0.752173900604248,0.7555555701255798
normal,200,64,256,0.9147196412086487,0.8744186162948608,0.7654867172241211,0.6607142686843872
normal,250,64,256,0.9193925261497498,0.8837209343910217,0.767241358757019,0.6785714030265808
normal,300,64,256,0.9240654110908508,0.8790697455406189,0.7782608866691589,0.686274528503418
normal,50,96,128,0.8399532437324524,0.804651141166687,0.6085271239280701,0.5194805264472961
normal,100,96,128,0.8668224215507507,0.8930232524871826,0.6549019813537598,0.7200000286102295
normal,150,96,128,0.8843457698822021,0.8790697455406189,0.6926229596138,0.6610169410705566
normal,200,96,128,0.889018714427948,0.8744186162948608,0.7094017267227173,0.6551724076271057
normal,250,96,128,0.8983644843101501,0.8093023300170898,0.7208333611488342,0.5256410241127014
normal,300,96,128,0.90887850522995,0.8837209343910217,0.7489177584648132,0.6666666865348816
normal,50,96,192,0.8598130941390991,0.8883720636367798,0.6398467421531677,0.6909090876579285
normal,100,96,192,0.8796728849411011,0.8511627912521362,0.6859503984451294,0.5970149040222168
normal,150,96,192,0.889018714427948,0.8883720636367798,0.7041666507720947,0.7142857313156128
normal,200,96,192,0.8983644843101501,0.8883720636367798,0.7172130942344666,0.7560975551605225
normal,250,96,192,0.9217289686203003,0.8604651093482971,0.7669491767883301,0.6190476417541504
normal,300,96,192,0.9252336621284485,0.9069767594337463,0.7744680643081665,0.8048780560493469
normal,50,96,256,0.8714953064918518,0.8883720636367798,0.6751055121421814,0.7692307829856873
normal,100,96,256,0.8855140209197998,0.869767427444458,0.6987447738647461,0.6491228342056274
normal,150,96,256,0.9007009267807007,0.8418604731559753,0.7250000238418579,0.5846154093742371
normal,200,96,256,0.9147196412086487,0.8651162981987,0.7631579041481018,0.6290322542190552
normal,250,96,256,0.9287382960319519,0.8930232524871826,0.800000011920929,0.7115384340286255
normal,300,96,256,0.9392523169517517,0.9162790775299072,0.8279069662094116,0.800000011920929
