,loss,accuracy,precision,recall,tp,tn,fp,fn,val_loss,val_accuracy,val_precision,val_recall,val_tp,val_tn,val_fp,val_fn
0,0.5985812544822693,0.7511682510375977,0.4716981053352356,0.21008403599262238,50.0,777.0,56.0,188.0,1.203546404838562,0.7906976938247681,0.0,0.0,0.0,170.0,0.0,45.0
1,0.5380280613899231,0.7873831987380981,0.5901639461517334,0.1865285038948059,36.0,638.0,25.0,157.0,0.5262609720230103,0.7813953757286072,0.25,0.02222222276031971,1.0,167.0,3.0,44.0
2,0.5259868502616882,0.7943925261497498,0.6349206566810608,0.20725388824939728,40.0,640.0,23.0,153.0,0.6132916808128357,0.6930232644081116,0.3478260934352875,0.5333333611488342,24.0,125.0,45.0,21.0
3,0.510934591293335,0.7967289686203003,0.5979381203651428,0.30051812529563904,58.0,624.0,39.0,135.0,0.5398874878883362,0.7906976938247681,0.0,0.0,0.0,170.0,0.0,45.0
4,0.5029999017715454,0.8154205679893494,0.6966292262077332,0.3212435245513916,62.0,636.0,27.0,131.0,0.5158777236938477,0.8186046481132507,0.574999988079071,0.5111111402511597,23.0,153.0,17.0,22.0
5,0.48976045846939087,0.8154205679893494,0.6495726704597473,0.393782377243042,76.0,622.0,41.0,117.0,0.4989955723285675,0.8325581550598145,0.6551724076271057,0.42222222685813904,19.0,160.0,10.0,26.0
6,0.47195541858673096,0.8422897458076477,0.7301587462425232,0.47668394446372986,92.0,629.0,34.0,101.0,0.48287728428840637,0.8325581550598145,0.7368420958518982,0.31111112236976624,14.0,165.0,5.0,31.0
7,0.47562623023986816,0.8282710313796997,0.6642857193946838,0.4818652868270874,93.0,616.0,47.0,100.0,0.48241710662841797,0.8093023300170898,0.699999988079071,0.15555556118488312,7.0,167.0,3.0,38.0
8,0.4614679515361786,0.8574766516685486,0.7414966225624084,0.5647668242454529,109.0,625.0,38.0,84.0,0.4945333003997803,0.800000011920929,0.75,0.06666667014360428,3.0,169.0,1.0,42.0
9,0.4629725515842438,0.855140209197998,0.7633587718009949,0.5181347131729126,100.0,632.0,31.0,93.0,0.4818587303161621,0.8372092843055725,0.9166666865348816,0.24444444477558136,11.0,169.0,1.0,34.0
10,0.451227605342865,0.8574766516685486,0.7320261597633362,0.5803108811378479,112.0,622.0,41.0,81.0,0.5031956434249878,0.8232558369636536,0.6521739363670349,0.3333333432674408,15.0,162.0,8.0,30.0
11,0.44585949182510376,0.8621495366096497,0.7358490824699402,0.606217622756958,117.0,621.0,42.0,76.0,0.5101476907730103,0.8232558369636536,0.5945945978164673,0.4888888895511627,22.0,155.0,15.0,23.0
12,0.44364771246910095,0.8656542301177979,0.7532467246055603,0.6010362505912781,116.0,625.0,38.0,77.0,0.49827006459236145,0.8186046481132507,0.5882353186607361,0.4444444477558136,20.0,156.0,14.0,25.0
13,0.4396902322769165,0.8679906725883484,0.7597402334213257,0.606217622756958,117.0,626.0,37.0,76.0,0.48811566829681396,0.8325581550598145,0.6666666865348816,0.4000000059604645,18.0,161.0,9.0,27.0
14,0.43799641728401184,0.8761682510375977,0.7701863646507263,0.6424870491027832,124.0,626.0,37.0,69.0,0.47815635800361633,0.8279069662094116,0.699999988079071,0.31111112236976624,14.0,164.0,6.0,31.0
15,0.4380347430706024,0.8633177280426025,0.7345678806304932,0.6165803074836731,119.0,620.0,43.0,74.0,0.4770768880844116,0.8511627912521362,0.7407407164573669,0.4444444477558136,20.0,163.0,7.0,25.0
16,0.4385659098625183,0.8668224215507507,0.7651006579399109,0.590673565864563,114.0,628.0,35.0,79.0,0.47723183035850525,0.8651162981987,0.7105262875556946,0.6000000238418579,27.0,159.0,11.0,18.0
17,0.43406879901885986,0.8679906725883484,0.7631579041481018,0.6010362505912781,116.0,627.0,36.0,77.0,0.4588102102279663,0.8511627912521362,0.7407407164573669,0.4444444477558136,20.0,163.0,7.0,25.0
18,0.43524327874183655,0.8761682510375977,0.7735849022865295,0.6373056769371033,123.0,627.0,36.0,70.0,0.4605126678943634,0.8511627912521362,0.7096773982048035,0.4888888895511627,22.0,161.0,9.0,23.0
19,0.4338420033454895,0.8633177280426025,0.7467532753944397,0.5958549380302429,115.0,624.0,39.0,78.0,0.45704731345176697,0.8604651093482971,0.7586206793785095,0.4888888895511627,22.0,163.0,7.0,23.0
20,0.4328192472457886,0.8738317489624023,0.7707006335258484,0.6269429922103882,121.0,627.0,36.0,72.0,0.45506551861763,0.8511627912521362,0.7241379022598267,0.46666666865348816,21.0,162.0,8.0,24.0
21,0.43807142972946167,0.8656542301177979,0.7532467246055603,0.6010362505912781,116.0,625.0,38.0,77.0,0.4532269835472107,0.8511627912521362,0.7241379022598267,0.46666666865348816,21.0,162.0,8.0,24.0
22,0.4276435673236847,0.8843457698822021,0.8092105388641357,0.6373056769371033,123.0,634.0,29.0,70.0,0.4493952691555023,0.8511627912521362,0.7407407164573669,0.4444444477558136,20.0,163.0,7.0,25.0
23,0.4297679662704468,0.8796728849411011,0.7922077775001526,0.6321243643760681,122.0,631.0,32.0,71.0,0.4473385512828827,0.8558139801025391,0.7333333492279053,0.4888888895511627,22.0,162.0,8.0,23.0
24,0.42733874917030334,0.8785046935081482,0.7798742055892944,0.6424870491027832,124.0,628.0,35.0,69.0,0.4454757273197174,0.8604651093482971,0.7419354915618896,0.5111111402511597,23.0,162.0,8.0,22.0
25,0.42950668931007385,0.8726635575294495,0.7658227682113647,0.6269429922103882,121.0,626.0,37.0,72.0,0.4434155821800232,0.8604651093482971,0.7419354915618896,0.5111111402511597,23.0,162.0,8.0,22.0
26,0.4259783923625946,0.8808411359786987,0.782608687877655,0.6528497338294983,126.0,628.0,35.0,67.0,0.44182851910591125,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
27,0.43042024970054626,0.8820093274116516,0.7911392450332642,0.6476684212684631,125.0,630.0,33.0,68.0,0.44045913219451904,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
28,0.4301337003707886,0.8761682510375977,0.7770700454711914,0.6321243643760681,122.0,628.0,35.0,71.0,0.43904590606689453,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
29,0.42479628324508667,0.8796728849411011,0.78125,0.6476684212684631,125.0,628.0,35.0,68.0,0.4383698105812073,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
30,0.42605847120285034,0.8726635575294495,0.7727272510528564,0.6165803074836731,119.0,628.0,35.0,74.0,0.4379296898841858,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
31,0.43189719319343567,0.8714953064918518,0.7712418437004089,0.6113989353179932,118.0,628.0,35.0,75.0,0.4376122057437897,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
32,0.4265771806240082,0.8785046935081482,0.7947019934654236,0.621761679649353,120.0,632.0,31.0,73.0,0.43715110421180725,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
33,0.4365196228027344,0.8656542301177979,0.767123281955719,0.5803108811378479,112.0,629.0,34.0,81.0,0.43691888451576233,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
34,0.4280390441417694,0.8796728849411011,0.78125,0.6476684212684631,125.0,628.0,35.0,68.0,0.436775267124176,0.8604651093482971,0.7272727489471436,0.5333333611488342,24.0,161.0,9.0,21.0
35,0.42939627170562744,0.8679906725883484,0.7597402334213257,0.606217622756958,117.0,626.0,37.0,76.0,0.4365939199924469,0.8558139801025391,0.7058823704719543,0.5333333611488342,24.0,160.0,10.0,21.0
36,0.42739301919937134,0.8785046935081482,0.7908496856689453,0.6269429922103882,121.0,631.0,32.0,72.0,0.4364961087703705,0.8604651093482971,0.7142857313156128,0.5555555820465088,25.0,160.0,10.0,20.0
37,0.4323851764202118,0.8796728849411011,0.7848101258277893,0.6424870491027832,124.0,629.0,34.0,69.0,0.43641725182533264,0.8604651093482971,0.7142857313156128,0.5555555820465088,25.0,160.0,10.0,20.0
38,0.43086206912994385,0.8679906725883484,0.7666666507720947,0.5958549380302429,115.0,628.0,35.0,78.0,0.4364262819290161,0.8604651093482971,0.7142857313156128,0.5555555820465088,25.0,160.0,10.0,20.0
39,0.42871877551078796,0.8714953064918518,0.7577639818191528,0.6321243643760681,122.0,624.0,39.0,71.0,0.43637609481811523,0.8604651093482971,0.7142857313156128,0.5555555820465088,25.0,160.0,10.0,20.0
