data,filter1,filter2,time,train_parameters,nontrain_parameters
normal,48,128,668.7517664432526,795937,352
normal,48,192,680.6264009475708,1180705,480
normal,48,256,620.8961143493652,1570593,608
normal,64,128,632.3012590408325,1057665,384
normal,64,192,642.9681668281555,1566337,512
normal,64,256,667.9990522861481,2080129,640
normal,96,128,648.9478833675385,1581121,448
normal,96,192,668.3580830097198,2337601,576
normal,96,256,696.6974320411682,3099201,704
