optimizer,data,step,filter1,filter2,accuracy,val_accuracy,precision,val_precision,recall,val_recall,tp,val_tp,tn,val_tn,fp,val_fp,fn,val_fn
gradual,normal,300,64,128,0.8598130941390991,0.8511627912521362,0.744966447353363,0.6857143044471741,0.575129508972168,0.5333333611488342,111.0,24.0,625.0,159.0,38.0,11.0,82.0,21.0
gradual,normal,50,64,192,0.8679906725883484,0.8837209343910217,0.753164529800415,0.738095223903656,0.6165803074836731,0.6888889074325562,119.0,31.0,624.0,159.0,39.0,11.0,74.0,14.0
gradual,normal,100,64,192,0.8621495366096497,0.8790697455406189,0.748344361782074,0.7317073345184326,0.5854922533035278,0.6666666865348816,113.0,30.0,625.0,159.0,38.0,11.0,80.0,15.0
gradual,normal,150,64,192,0.8598130941390991,0.8837209343910217,0.7324841022491455,0.738095223903656,0.5958549380302429,0.6888889074325562,115.0,31.0,621.0,159.0,42.0,11.0,78.0,14.0
gradual,normal,200,64,192,0.860981285572052,0.8837209343910217,0.7434210777282715,0.738095223903656,0.5854922533035278,0.6888889074325562,113.0,31.0,624.0,159.0,39.0,11.0,80.0,14.0
gradual,normal,250,64,192,0.8679906725883484,0.8837209343910217,0.7597402334213257,0.738095223903656,0.606217622756958,0.6888889074325562,117.0,31.0,626.0,159.0,37.0,11.0,76.0,14.0
gradual,normal,300,64,192,0.8668224215507507,0.8837209343910217,0.7453415989875793,0.738095223903656,0.621761679649353,0.6888889074325562,120.0,31.0,622.0,159.0,41.0,11.0,73.0,14.0
gradual,normal,50,64,256,0.8504672646522522,0.8604651093482971,0.7210884094238281,0.7027027010917664,0.5492228269577026,0.5777778029441833,106.0,26.0,622.0,159.0,41.0,11.0,87.0,19.0
gradual,normal,100,64,256,0.8574766516685486,0.8604651093482971,0.7382550239562988,0.7027027010917664,0.5699481964111328,0.5777778029441833,110.0,26.0,624.0,159.0,39.0,11.0,83.0,19.0
gradual,normal,150,64,256,0.8644859790802002,0.8558139801025391,0.7421383857727051,0.6842105388641357,0.6113989353179932,0.5777778029441833,118.0,26.0,622.0,158.0,41.0,12.0,75.0,19.0
gradual,normal,200,64,256,0.860981285572052,0.8558139801025391,0.7341772317886353,0.6842105388641357,0.6010362505912781,0.5777778029441833,116.0,26.0,621.0,158.0,42.0,12.0,77.0,19.0
gradual,normal,250,64,256,0.8656542301177979,0.8558139801025391,0.767123281955719,0.6842105388641357,0.5803108811378479,0.5777778029441833,112.0,26.0,629.0,158.0,34.0,12.0,81.0,19.0
gradual,normal,300,64,256,0.8633177280426025,0.8558139801025391,0.753333330154419,0.6842105388641357,0.5854922533035278,0.5777778029441833,113.0,26.0,626.0,158.0,37.0,12.0,80.0,19.0
gradual,normal,50,96,128,0.8691588640213013,0.8604651093482971,0.7718120813369751,0.7142857313156128,0.5958549380302429,0.5555555820465088,115.0,25.0,629.0,160.0,34.0,10.0,78.0,20.0
gradual,normal,100,96,128,0.875,0.8604651093482971,0.7721518874168396,0.7142857313156128,0.6321243643760681,0.5555555820465088,122.0,25.0,627.0,160.0,36.0,10.0,71.0,20.0
gradual,normal,150,96,128,0.8785046935081482,0.8604651093482971,0.7834395170211792,0.7142857313156128,0.6373056769371033,0.5555555820465088,123.0,25.0,629.0,160.0,34.0,10.0,70.0,20.0
gradual,normal,200,96,128,0.8703271150588989,0.8604651093482971,0.7697368264198303,0.7142857313156128,0.606217622756958,0.5555555820465088,117.0,25.0,628.0,160.0,35.0,10.0,76.0,20.0
gradual,normal,250,96,128,0.875,0.8604651093482971,0.7828947305679321,0.7142857313156128,0.6165803074836731,0.5555555820465088,119.0,25.0,630.0,160.0,33.0,10.0,74.0,20.0
gradual,normal,300,96,128,0.8726635575294495,0.8604651093482971,0.7658227682113647,0.7142857313156128,0.6269429922103882,0.5555555820465088,121.0,25.0,626.0,160.0,37.0,10.0,72.0,20.0
gradual,normal,50,96,192,0.8563084006309509,0.8465116024017334,0.7364864945411682,0.6666666865348816,0.5647668242454529,0.5333333611488342,109.0,24.0,624.0,158.0,39.0,12.0,84.0,21.0
gradual,normal,100,96,192,0.8574766516685486,0.8465116024017334,0.7517730593681335,0.6666666865348816,0.5492228269577026,0.5333333611488342,106.0,24.0,628.0,158.0,35.0,12.0,87.0,21.0
gradual,normal,150,96,192,0.8598130941390991,0.8465116024017334,0.7354838848114014,0.6666666865348816,0.590673565864563,0.5333333611488342,114.0,24.0,622.0,158.0,41.0,12.0,79.0,21.0
gradual,normal,200,96,192,0.8773364424705505,0.8465116024017334,0.8055555820465088,0.6666666865348816,0.6010362505912781,0.5333333611488342,116.0,24.0,635.0,158.0,28.0,12.0,77.0,21.0
gradual,normal,250,96,192,0.8656542301177979,0.8465116024017334,0.7599999904632568,0.6666666865348816,0.590673565864563,0.5333333611488342,114.0,24.0,627.0,158.0,36.0,12.0,79.0,21.0
gradual,normal,300,96,192,0.8621495366096497,0.8558139801025391,0.7551020383834839,0.7058823704719543,0.575129508972168,0.5333333611488342,111.0,24.0,627.0,160.0,36.0,10.0,82.0,21.0
gradual,normal,50,96,256,0.8761682510375977,0.8604651093482971,0.7806451320648193,0.7272727489471436,0.6269429922103882,0.5333333611488342,121.0,24.0,629.0,161.0,34.0,9.0,72.0,21.0
gradual,normal,100,96,256,0.8633177280426025,0.8604651093482971,0.75,0.7272727489471436,0.590673565864563,0.5333333611488342,114.0,24.0,625.0,161.0,38.0,9.0,79.0,21.0
gradual,normal,150,96,256,0.8726635575294495,0.8604651093482971,0.7592592835426331,0.7272727489471436,0.6373056769371033,0.5333333611488342,123.0,24.0,624.0,161.0,39.0,9.0,70.0,21.0
gradual,normal,200,96,256,0.8679906725883484,0.8604651093482971,0.7702702879905701,0.7272727489471436,0.590673565864563,0.5333333611488342,114.0,24.0,629.0,161.0,34.0,9.0,79.0,21.0
gradual,normal,250,96,256,0.8679906725883484,0.8604651093482971,0.7702702879905701,0.7272727489471436,0.590673565864563,0.5333333611488342,114.0,24.0,629.0,161.0,34.0,9.0,79.0,21.0
gradual,normal,300,96,256,0.8691588640213013,0.8604651093482971,0.7612903118133545,0.7272727489471436,0.6113989353179932,0.5333333611488342,118.0,24.0,626.0,161.0,37.0,9.0,75.0,21.0
fixed,normal,50,48,128,0.8189252614974976,0.8186046481132507,0.8392857313156128,0.6875,0.24352331459522247,0.24444444477558136,47.0,11.0,654.0,165.0,9.0,5.0,146.0,34.0
fixed,normal,100,48,128,0.8668224215507507,0.8883720636367798,0.8015267252922058,0.8181818127632141,0.5440414547920227,0.6000000238418579,105.0,27.0,637.0,164.0,26.0,6.0,88.0,18.0
fixed,normal,150,48,128,0.8820093274116516,0.869767427444458,0.8026315569877625,0.7575757503509521,0.6321243643760681,0.5555555820465088,122.0,25.0,633.0,162.0,30.0,8.0,71.0,20.0
fixed,normal,200,48,128,0.8936915993690491,0.8790697455406189,0.8227847814559937,0.8275862336158752,0.6735751032829285,0.5333333611488342,130.0,24.0,635.0,165.0,28.0,5.0,63.0,21.0
fixed,normal,250,48,128,0.9077102541923523,0.8744186162948608,0.8433734774589539,0.7647058963775635,0.7253885865211487,0.5777778029441833,140.0,26.0,637.0,162.0,26.0,8.0,53.0,19.0
fixed,normal,300,48,128,0.9147196412086487,0.8883720636367798,0.8703703880310059,0.800000011920929,0.7305699586868286,0.6222222447395325,141.0,28.0,642.0,163.0,21.0,7.0,52.0,17.0
fixed,normal,50,48,192,0.8913551568984985,0.8790697455406189,0.8472222089767456,0.7878788113594055,0.6321243643760681,0.5777778029441833,122.0,26.0,641.0,163.0,22.0,7.0,71.0,19.0
fixed,normal,100,48,192,0.9077102541923523,0.8883720636367798,0.8653846383094788,0.8888888955116272,0.6994818449020386,0.5333333611488342,135.0,24.0,642.0,167.0,21.0,3.0,58.0,21.0
fixed,normal,150,48,192,0.9042056202888489,0.9023255705833435,0.8363636136054993,0.9285714030265808,0.7150259017944336,0.5777778029441833,138.0,26.0,636.0,168.0,27.0,2.0,55.0,19.0
fixed,normal,200,48,192,0.9147196412086487,0.9069767594337463,0.8846153616905212,0.9032257795333862,0.7150259017944336,0.6222222447395325,138.0,28.0,645.0,167.0,18.0,3.0,55.0,17.0
fixed,normal,250,48,192,0.9205607771873474,0.9069767594337463,0.8612716794013977,0.9032257795333862,0.772020697593689,0.6222222447395325,149.0,28.0,639.0,167.0,24.0,3.0,44.0,17.0
fixed,normal,300,48,192,0.9357476830482483,0.9116278886795044,0.9207317233085632,0.8823529481887817,0.7823834419250488,0.6666666865348816,151.0,30.0,650.0,166.0,13.0,4.0,42.0,15.0
fixed,normal,50,48,256,0.8773364424705505,0.8744186162948608,0.8098591566085815,0.7647058963775635,0.5958549380302429,0.5777778029441833,115.0,26.0,636.0,162.0,27.0,8.0,78.0,19.0
fixed,normal,100,48,256,0.90887850522995,0.8883720636367798,0.8443113565444946,0.8181818127632141,0.7305699586868286,0.6000000238418579,141.0,27.0,637.0,164.0,26.0,6.0,52.0,18.0
fixed,normal,150,48,256,0.9147196412086487,0.8883720636367798,0.8797468543052673,0.7692307829856873,0.7202072739601135,0.6666666865348816,139.0,30.0,644.0,161.0,19.0,9.0,54.0,15.0
fixed,normal,200,48,256,0.9147196412086487,0.8837209343910217,0.8658536672592163,0.8125,0.7357512712478638,0.5777778029441833,142.0,26.0,641.0,164.0,22.0,6.0,51.0,19.0
fixed,normal,250,48,256,0.9299065470695496,0.8883720636367798,0.8888888955116272,0.800000011920929,0.787564754486084,0.6222222447395325,152.0,28.0,644.0,163.0,19.0,7.0,41.0,17.0
fixed,normal,300,48,256,0.9299065470695496,0.8976744413375854,0.907975435256958,0.8108108043670654,0.7668393850326538,0.6666666865348816,148.0,30.0,648.0,163.0,15.0,7.0,45.0,15.0
fixed,normal,50,64,128,0.8855140209197998,0.8651162981987,0.818791925907135,0.7352941036224365,0.6321243643760681,0.5555555820465088,122.0,25.0,636.0,161.0,27.0,9.0,71.0,20.0
fixed,normal,100,64,128,0.894859790802002,0.8604651093482971,0.8047337532043457,0.7586206793785095,0.7046632170677185,0.4888888895511627,136.0,22.0,630.0,163.0,33.0,7.0,57.0,23.0
fixed,normal,150,64,128,0.90887850522995,0.8837209343910217,0.8616352081298828,0.8125,0.7098445892333984,0.5777778029441833,137.0,26.0,641.0,164.0,22.0,6.0,56.0,19.0
fixed,normal,200,64,128,0.9182242751121521,0.8790697455406189,0.8867924809455872,0.8064516186714172,0.7305699586868286,0.5555555820465088,141.0,25.0,645.0,164.0,18.0,6.0,52.0,20.0
fixed,normal,250,64,128,0.9182242751121521,0.8837209343910217,0.8727272748947144,0.8333333134651184,0.7461140155792236,0.5555555820465088,144.0,25.0,642.0,165.0,21.0,5.0,49.0,20.0
fixed,normal,300,64,128,0.9217289686203003,0.8837209343910217,0.8579545617103577,0.8333333134651184,0.7823834419250488,0.5555555820465088,151.0,25.0,638.0,165.0,25.0,5.0,42.0,20.0
fixed,normal,50,64,192,0.8901869058609009,0.8976744413375854,0.8278145790100098,0.8709677457809448,0.6476684212684631,0.6000000238418579,125.0,27.0,637.0,166.0,26.0,4.0,68.0,18.0
fixed,normal,100,64,192,0.8936915993690491,0.8930232524871826,0.8227847814559937,0.9230769276618958,0.6735751032829285,0.5333333611488342,130.0,24.0,635.0,168.0,28.0,2.0,63.0,21.0
fixed,normal,150,64,192,0.9112149477005005,0.9116278886795044,0.8461538553237915,0.9333333373069763,0.7409326434135437,0.6222222447395325,143.0,28.0,637.0,168.0,26.0,2.0,50.0,17.0
fixed,normal,200,64,192,0.9287382960319519,0.9209302067756653,0.9125000238418579,0.9666666388511658,0.7564767003059387,0.644444465637207,146.0,29.0,649.0,169.0,14.0,1.0,47.0,16.0
fixed,normal,250,64,192,0.9264018535614014,0.9255813956260681,0.8963414430618286,0.939393937587738,0.7616580128669739,0.6888889074325562,147.0,31.0,646.0,168.0,17.0,2.0,46.0,14.0
fixed,normal,300,64,192,0.9345794320106506,0.9069767594337463,0.9202454090118408,0.837837815284729,0.7772020697593689,0.6888889074325562,150.0,31.0,650.0,164.0,13.0,6.0,43.0,14.0
